"chi2","mu","eta","alpha","zeta","Delta","trel","rho_mantle","rho_core","R_core"
1.483420356146894,66.575712,25.803178,0.257867,-2.771727,-1.19258,-8.981773,3373.368,5005.342,446.401442
1.4740094996567341,67.883503,19.477916,0.190479,4.876928,-1.407271,-3.124884,3373.322,5036.718,443.554626
1.5145203012338968,73.939446,23.52315,0.320918,-2.325133,-0.908914,-7.907535,3373.5339999999997,5069.427,440.605566
1.4849697589317958,65.493127,23.987287,0.22236,2.540139,-0.996898,-7.051802,3373.4829999999997,5074.710999999999,439.889568
1.4580142516071632,70.067066,24.663352,0.181547,-1.700702,-1.436405,-8.651276,3373.604,5164.862,432.083804
1.3851408887201562,65.982746,21.242075,0.262261,2.238093,-1.115779,-4.363696,3373.476,5054.198,441.854858
1.4945339677903111,72.044656,25.633213,0.108012,-0.881716,-1.571056,-8.848303,3373.594,5167.3640000000005,431.875099
1.4975961840686145,70.240742,22.485087,0.153778,0.897696,-1.590623,-6.283419,3373.694,5229.732,426.693701
1.4933113166598062,65.404944,20.870572,0.394561,0.180269,-1.342138,-4.255726,3373.616,5300.46,421.265257
1.4879913376200942,70.841305,26.16849,0.13281,-2.270331,-1.666812,-9.52833,3373.514,5093.535,438.246349
