"chi2","mu","eta","alpha","zeta","Delta","eta_gb","d_grain","rho_mantle","rho_core","R_core"
1.4523178879637384,65.137326,23.800643,0.235852,2.547829,-0.998015,11.306208,-3.366995,3373.5550000000003,5123.179999999999,435.718805
1.4327790420342623,69.057269,22.725637,0.17746,0.440539,-1.516881,12.960931,-5.280681,3373.471,5003.721,446.563801
1.4716050731682138,68.114416,20.450973,0.156181,4.375842,-1.263489,13.67645,-5.856961,3373.532,5024.887,444.595999
1.4666577608041058,71.946577,26.394683,0.11623,-1.787987,-1.604501,10.650027,-2.971015,3373.3900000000003,5018.535,445.348792
1.4416413909828776,68.462456,23.482168,0.343115,-2.332047,-1.281668,9.424826,-2.408789,3373.606,5151.754999999999,433.249877
1.468737898775505,73.658947,26.726915,0.111573,-2.496326,-1.780921,12.065808,-4.760822,3373.367,4980.766,448.912405
1.4598570579446624,70.354165,19.864347,0.204585,2.966711,-1.255807,12.251589,-5.352849,3373.6079999999997,5164.512000000001,432.099112
1.428508604953536,69.661193,27.67478,0.120121,-1.933075,-1.27133,12.508687,-4.601116,3373.4190000000003,5024.924,444.557746
1.421972032886518,84.194898,22.210213,0.329594,-1.161642,-0.545617,11.39635,-5.01318,3373.4350000000004,5046.92,442.568266
1.4787492194063643,68.165747,22.565269,0.215992,0.106286,-1.50872,11.775644,-4.339939,3373.498,5045.701,442.603687
