"chi2","mu","eta","alpha","zeta","Delta","eta_gb","d_grain","rho_mantle","rho_core","R_core"
7.78804075906983,63.748164,28.997532,0.380388,-1.539728,-0.999938,11.479544,-3.625199,3373.9370000000004,6212.0470000000005,368.41489
6.435242179715603,75.421109,22.681331,0.100617,0.041987,-1.869282,14.713963,-3.196469,3373.58,6400.564,361.03333
5.466251364972428,72.390968,20.218879,0.113714,2.83178,-1.999312,5.433555,-3.009485,3374.696,6966.3589999999995,339.288004
8.48163480217616,74.468414,26.642538,0.119284,-3.573522,-1.972044,5.282686,-3.482516,3373.738,5307.953,420.174451
17.960377605715866,71.300236,24.617547,0.152358,-2.605791,-1.757423,17.739754,-5.767053,3373.477,5884.933,384.64171
9.277351967054585,67.12408,20.282579,0.19687,1.517652,-0.685398,18.379476,-4.435109,3374.069,6558.286,354.444585
4.585655009151365,80.172442,20.394884,0.241348,1.312864,-0.598485,12.1777,-5.998273,3374.022,6245.91,367.333197
11.012724241974713,78.333987,24.999092,0.205375,-3.819976,-0.850707,5.202683,-4.446746,3374.005,5870.7880000000005,385.692098
5.338508791704567,74.247705,24.771665,0.109657,-1.829446,-1.991916,15.510995,-5.386914,3373.9530000000004,5808.898,388.086094
9.32487297039931,77.050335,22.427397,0.102222,1.055658,-1.886173,6.529755,-5.662113,3373.775,5004.302,445.638426
7.313995077114566,74.025396,25.561452,0.132438,-1.670702,-1.138298,11.862761,-5.089964,3373.774,5326.634,418.96396
8.41255680315758,72.642431,26.084021,0.200099,-4.475769,-1.329488,8.028824,-2.005994,3375.302,5266.033,422.933962
9.853088562801647,79.530404,20.837715,0.109427,1.581794,-1.078215,5.489103,-5.277946,3374.397,5921.533,383.012517
4.812441716138011,71.935898,20.537297,0.111623,2.456224,-1.657337,15.043083,-4.039589,3374.578,6764.616,346.496508
8.429223693080422,69.39973,21.238324,0.178071,1.259376,-1.932389,10.760716,-3.714945,3373.3740000000003,5603.4800000000005,400.778384
6.938790328216205,73.772346,25.90857,0.105319,-2.119918,-1.313782,23.443784,-2.42607,3373.6989999999996,5142.188,433.641108
8.32533623505892,63.493557,27.637515,0.253471,-3.903544,-1.2643,10.0214,-2.317301,3373.554,6746.634,347.766166
12.761736853575497,85.202905,23.832652,0.310222,-2.471017,-0.509278,11.479993,-5.024281,3374.2230000000004,5222.161,427.196744
5.025433016526168,68.894653,25.106061,0.337146,-3.82752,-0.935076,12.26655,-5.418486,3375.054,6007.202,378.257626
6.919333734049054,83.933963,19.45076,0.259395,3.939933,-0.468941,10.734545,-4.28204,3374.412,5910.088,382.736956
6.655634172870522,83.146803,26.924464,0.111951,-4.184492,-0.92034,10.249102,-4.798513,3373.8990000000003,5340.303,418.109342
18.603724380973233,65.484228,22.939744,0.296167,-0.608252,-1.330077,10.677023,-3.090482,3373.288,5227.7300000000005,427.933915
12.754368980770394,74.628071,20.815287,0.105861,2.373205,-1.366288,16.498687,-2.581038,3372.998,5245.183,425.564912
5.930285359828367,84.116669,24.299269,0.121856,-1.919683,-0.797346,7.932033,-4.014161,3373.3450000000003,5582.525000000001,402.544774
12.480708497756849,74.516532,26.014994,0.118907,-2.80779,-1.157217,7.283698,-5.190972,3373.606,6174.552000000001,371.22522
2.0225554502134813,79.331223,25.398365,0.13265,-2.84386,-0.856481,8.318916,-5.857496,3374.325,6413.129,360.70426
9.081232609579416,64.182323,26.491908,0.154714,-1.012354,-1.355542,13.024776,-5.48938,3374.093,6535.5689999999995,354.520721
4.865681965863661,74.447142,25.443151,0.141391,-3.397656,-0.801589,23.29883,-5.890262,3373.8959999999997,5017.2699999999995,445.562952
10.141818704467125,70.555501,25.557021,0.140301,-2.734884,-0.392095,25.026004,-5.037962,3373.962,5952.229,381.05632
3.274124433275079,73.30235,21.604827,0.129234,1.116999,-1.743043,4.572706,-2.952921,3374.0679999999998,5032.6630000000005,443.911193
5.829531228593016,71.94683,24.398124,0.171831,-2.580155,-1.939141,3.038348,-2.182667,3373.63,5234.6539999999995,427.439632
6.703094367652259,78.231634,20.511996,0.166825,1.684504,-0.884367,10.039775,-4.639085,3373.721,5540.153,403.227792
6.728285616774855,67.43337,21.023668,0.14876,2.562994,-1.650728,11.180552,-3.866498,3373.866,5811.369,388.244575
4.917005374517452,74.594025,23.216212,0.116955,-0.273555,0.997999,17.134248,-4.186589,3374.91,5743.403,391.89389
5.017465463425521,76.541664,23.097752,0.373424,-1.673486,-0.624753,11.6841,-5.108727,3374.6800000000003,6353.08,362.412856
4.445375512073575,66.818203,22.557488,0.152103,1.527207,-1.275756,10.640763,-3.161305,3373.3909999999996,6288.797,365.303894
9.0320211499348,67.203475,26.347303,0.163849,-2.434252,-1.601228,12.495478,-4.945903,3373.8320000000003,5303.242,421.690003
